,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
24,2.0,,,0.0,1.2857142857142858,,,,11.196922245947732,,1028.6229836092582,2.799230561486933,,,,,,,1461.15589714142,,0.0,20.12883435582822,,36.127799971465265,,,212.36847355595287,,,,43.78255960993852,88.0,40.07853710897567,2.0526315789473686,,,501.816276488656,3.0,,,8.669288704849048,8.395833333333332,3.3970588235294117,2.1316893208687886,,,-6.483704974271012,0.0,110.10832687505383,38.95996431359429,34354.738728215336,20.829139817347365,,,16.083333333333336,,,14.869167831805706,,,,6.254252079619727,2626.3456284584977,,0.0,0.5,,4.800000000000001,256.8343949044586,2.1316893208687886,6.02218894611136,,,20.83132530120482,183.4421768707483,314.6779602486379,,7.3242138000568655,,,601.5005005005005,1028.806387527405,,317.0981533591465,,5.478260869565218,,7.83633325738589,9.856196890215879,,23.02912022332754,,,25.323003928380924,74.13171995136672,,,,,,99.0,,,,1013.3143872113677,1.9696969696969697,20861.666666666668,,0.48148148148148145,9.888888888888888,0.0,,21.89127980496926,0.3333333333333333,0.08571428571428572,8717.861940588304,16.335445778527905,,68.34900109839243,5.064600785676185,84.73684210526316,77.66244725738397,,
25,2.0,,,1.222222222222222,5.071428571428571,,,,10.687422604025175,,428.65678131336745,2.6718556510062936,,,,,,,1069.854127239319,,76.80000000000001,36.74846625766871,,76.34263090312456,,,230.52272328720437,,,,18.472007474500995,88.0,27.640564301778777,2.0526315789473686,,,442.45350127765016,1.875,,,7.482354945070463,2.798611111111111,0.6176470588235294,2.6846315147035766,,,-10.95025728987993,0.045871559633027525,80.51567209162147,26.962919594067138,19287.79792677571,22.211151546057206,,,0.8055555555555556,,,20.4677385945834,,,,21.309306298276883,1797.754217216412,,0.0,21.0,,4.800000000000001,402.64331210191085,2.6846315147035766,11.05585911637382,,,25.847054886211517,130.76190476190476,377.57205893638246,,4.834926732109831,,,117.44394394394396,1023.9742857403962,,773.5853981655276,,18.313043478260873,,4.366241360978203,10.779905948814177,,16.56449842601762,,,9.149182800224468,6.262598315354564,,,,,,1.7678571428571428,,,,1604.5754884547068,1.3333333333333333,81.0,,1.411038489469862,88.23585858585858,405.0,,9.236003737250497,60.33333333333333,0.0,12452.150371157404,8.82271399466675,,6.596552473358187,1.8298365600448936,785.2894736842104,48.70042194092827,,
26,63.225806451612904,,,3.6666666666666665,8.714285714285715,,,,6.4904243404993025,,449.76257849963673,1.6226060851248256,,,,,,,1578.4584364940008,,0.0,39.19631901840491,,236.935368811528,,,225.78355305513554,,,,20.022356482174473,88.0,18.111991412799018,0.9473684210526315,,,336.70567586402706,1.5,,,5.556340372504165,7.233333333333333,8.029411764705882,1.8695080756887852,,,10.806174957118353,3.8990825688073394,42.85410746577112,18.084281253485,22919.10652120355,17.245300403319273,,,0.8055555555555556,,,17.948190150691318,,,,8.865555914110681,618.0892099758648,,0.0,1.5,,0.0,365.57324840764335,1.8695080756887852,8.479448824984537,,,37.57228915662651,42.275510204081634,470.6559166602717,,6.009329207568644,,,271.0945945945946,1302.9044360957578,,518.6686992663122,,0.0,,4.175263917369181,22.72099620477785,,15.992599812711255,,,9.213971310325476,8.094317058428507,,,,,,39.482142857142854,,,,2507.026642984014,0.0,121.66666666666666,,0.5134350036310821,4.8545454545454545,0.0,,10.011178241087237,130.0,1.3285714285714285,9329.927924835589,8.434637060461533,,1.1579752823057483,1.8427942620650954,305.0526315789474,517.2911392405063,,
27,6.709677419354839,,,18467.533333333333,19.571428571428573,,,,5.909622713895577,,631.1729720735817,1.4774056784738943,,,,,,,881.1258606900136,,0.0,41.38650306748466,,52.0256812669425,,,17889.397150036995,,,,17.65681360166162,710.5862068965517,18.83589756695972,0.3157894736842105,,,552.0140412461606,1.6875,,,3.9772749528184317,13.433333333333334,0.5147058823529412,1.39954363323085,,,17.433962264150946,13.256880733944953,65.94773099113064,26.273837403813985,35583.524430010606,38.7318390431598,,,2.5416666666666665,,,14.643079074102843,,,,8.298103691581126,8041.0660659894165,,0.0,2.0,,0.0,182.69426751592357,1.39954363323085,5.848902184698332,,,625.8627844712183,101.12925170068027,329.63724963548464,,1.864067960684617,,,59.732732732732735,1382.4147873461304,,424.7919895818714,,3.1304347826086953,,7.588238272448798,18.47003746410392,,13.787386148533677,,,9.731440690113699,2.891633742804413,,,,,,83.67857142857143,,,,2857.115452930728,1.1666666666666667,81.0,,0.8061002178649238,4.8545454545454545,0.0,,8.82840680083081,2.0,0.5142857142857143,5515.570174923937,4.65877310478221,,2.7526229594075717,1.9462881380227397,14.921052631578947,786.4894514767933,,
28,2.0,,,2445.422222222222,7.928571428571429,,,,7.818513744884256,,882.1733298680448,1.954628436221064,,,,,,,1043.7695811947415,,0.0,190.57668711656441,,84.65362391211299,,,11415.932416353444,,,,20.195802618123125,88.0,52.585105295440606,1.894736842105263,,,238.2843868569806,3.1875,,,6.182345413595413,11.366666666666665,8.955882352941176,1.7671198251816198,,,64.69296740994854,0.0,140.28857745629898,12.09504293520687,25222.48378254978,53.381501784803675,,,2.0416666666666665,,,0.8420848221221066,,,,13.03756921394472,11547.49340907342,,3.0,1.5,,0.0,-2.6560509554140133,1.7671198251816198,3.879963987162263,,,50.91633199464525,41.452380952380956,208.63661652981352,,2.3548217941818677,,,128.9124124124124,1101.572854006396,,418.04749826348717,,3.6,,7.460912381965013,24.583159360453664,,11.402294094062384,,,49.700379125537644,6.414495554814035,,,,,,85.25,,,,2662.6216696269985,1.3181818181818183,81.0,,1.4596949891067537,116.50909090909092,0.0,,10.097901309061562,2.0,0.1285714285714286,6366.633568200179,6.500627432363585,,1.7577147254147742,9.94007582510753,89.08672248803828,229.52742616033757,,
29,30.258064516129032,,,0.0,29.35714285714286,,,,6.08536908376228,,497.4037910298671,1.52134227094057,,,,,,,693.8961352672985,,0.0,32.88343558282209,,66.43572549579113,,,14127.283729906141,,,,24.67012905221425,88.0,19.641612144755673,0.9473684210526315,,,306.04929922824766,7.3125,,,8.160591435591435,8.54652777777778,16.36764705882353,2.2043410536883603,,,32.85077186963979,1.146788990825688,57.100533884439855,13.50724880115981,53538.28809636664,39.931951462611835,,,3.263888888888889,,,31.127440318989176,,,,22.93574532085561,165.80454342579313,,1.0,7.833333333333334,,6.0,153.03821656050957,2.2043410536883603,6.357086878638604,,,26.306224899598394,66.5578231292517,285.12424219169674,,4.3070924890581965,,,107.81981981981981,884.708110743265,,404.1254727751649,,0.0,,11.48087896508949,36.23420464480591,,17.211163095309438,,,18.469831698959325,7.188046692028216,,,,,,21.803571428571427,,,,5152.142095914743,0.8484848484848484,81.0,,0.9331880900508351,258.50454545454545,0.0,,12.335064526107125,7.666666666666667,0.0,7535.745673172321,7.328819668605619,,4.5845955399599285,3.6939663397918654,64.10526315789474,184.9704641350211,,
30,44.38709677419355,,,1.222222222222222,3.4285714285714284,,,,8.67657193111205,,929.0437519936091,2.1691429827780127,,,,,,,911.4882227314915,,0.0,40.484662576687114,,49.63721643601084,,,5059.2006102654705,,,,41.739978240965876,88.0,46.26702105908812,2.3684210526315788,,,485.1617066308753,19.125,,,9.127811976996759,13.024305555555554,0.0,5.615374712060095,,,1934.5934819897084,0.0,46.46394127271162,9.313956730233077,40140.06843755691,31.972376106810067,,,1.7222222222222223,,,20.175547615348766,,,,28.51218858755623,342.01304347826084,,0.0,3.5555555555555554,,6.0,185.16560509554142,5.615374712060095,16.095071202462176,,,9.152945113788487,43.09863945578232,232.35749366894328,,10.981907547080068,,,47.12412412412413,1113.396175674429,,438.89608789094274,,9.391304347826086,,2.3500417710944026,30.62632385694095,,43.10006196851605,,,24.30617134351595,3.1545112639342756,,,,,,18.660714285714285,,,,3106.0674955595027,2.5606060606060606,81.0,,4.097312999273783,8.495454545454546,0.0,,20.869989120482938,1.3333333333333333,13.32857142857143,24299.405451797807,12.082240661042206,,0.6518937608046519,4.86123426870319,28.31818181818182,86.94514767932489,,
31,934.516129032258,,,0.0,10.571428571428571,,,,19.62814301958752,,1127.2261716207872,4.90703575489688,,,,,,,470.55118565476363,,0.0,56.58895705521472,,66.91125695534312,,,4211.597425834179,,,,74.51673455366344,88.0,38.662211204252706,0.3157894736842105,,,597.7402885682575,11.8125,,,11.421949076137606,3.7888888888888888,3.2941176470588234,5.273267085234251,,,4.034305317324185,1.834862385321101,101.76668388874538,6.43280918924947,113606.68819389734,56.67303323907098,,,6.541666666666667,,,45.68525710734814,,,,47.837316176470594,278.9280632411067,,9.0,87.16666666666667,,4.800000000000001,691.7898089171974,5.273267085234251,13.340453026038002,,,125.40495314591699,22.931972789115648,471.3412631417389,,10.014510853225302,,,137.69819819819818,1177.0871401974023,,443.6297465104838,,28.173913043478258,,0.9942786258575731,19.506234946108364,,29.53451218700378,,,28.093221742303452,0.5985108209096772,,,,,,5.892857142857143,,,,1168.9094138543517,1.196969696969697,81.0,,3.6252723311546844,11.73181818181818,0.0,,37.25836727683172,4.166666666666666,1285.8857142857144,15842.482872854918,8.047242221212281,,0.4486877259154487,5.61864434846069,86.625,135.58649789029536,,
32,2.0,,,3.6666666666666665,14.357142857142858,,,,17.86973114860476,,3587.638125658894,4.46743278715119,,,,,,,779.270479940247,,12.0,29.920245398773005,,34.80928092452561,,,3975.407648781072,,,,40.59152246566366,88.0,48.98694029850746,0.0,,,340.9399375371035,3.75,,,14.025032104867186,48.28680555555556,1.1323529411764706,5.37094394060253,,,80.6861063464837,3.8073394495412844,46.60141651597348,10.694184231069476,111828.3300344786,281.9147176765101,,,2.236111111111111,,,14.881621873543576,,,,32.972818960395024,1016.9107826086957,,0.0,164.33333333333331,,1.7999999999999998,244.47770700636943,5.37094394060253,13.223960292580983,,,13.697791164658634,58.73809523809524,607.0793108740695,,10.77414502994829,,,78.04204204204204,1057.4050849701016,,494.4381402369552,,25.82608695652174,,9.061011113642692,37.62559297646323,,30.499683329687535,,,31.079328415773475,3.3690140642338213,,,,,,10.017857142857142,,,,1285.6056838365896,0.3333333333333333,81.0,,4.222948438634713,37.75757575757575,0.0,,20.29576123283183,0.0,13.32857142857143,18513.673256986134,14.263945904056989,,6.1541330557724,6.215865683154695,59.56730769230769,50.55696202531646,,
33,2.0,,,0.0,3.285714285714286,,,,33.11854812759252,,1456.7256974920917,8.27963703189813,,,,,,,875.4318607036075,,0.0,50.147239263803684,,70.23997717220716,,,1939.3269284502398,,,,43.207494546759115,24493.37931034483,50.14069208750766,3.789473684210526,,,689.1943318793072,3.5625,,,64.10992767590406,48.91111111111111,6.0735294117647065,21.59838228652541,,,11.09433962264151,0.5504587155963303,41.177796435029705,4.205670792907327,146749.86305493317,10.585670576236614,,,3.055555555555556,,,52.09717259592978,,,,128.49079825895876,407.55860869565214,,0.0,139.44444444444446,,4.199999999999999,1015.5350318471337,21.59838228652541,66.20859714575485,,,13.22690763052209,7.704081632653061,977.1812025170746,,9.943866874409878,,,50.84634634634635,1157.4232996834353,,426.6421412424209,,88.59130434782608,,18.465924913293335,46.334710429647146,,25.73212469869634,,,47.36376572378493,22.784583930245784,,,,,,0.0,,,,1316.7246891651866,6.257575757575758,81.0,,4.4960058097313,19.777777777777775,0.0,,21.603747273379557,2.3333333333333335,1.542857142857143,15675.676128113551,14.497130534618783,,11.03444263239751,9.472753144756986,69.65283400809717,50.9282700421941,,
34,2.0,,,0.0,19.92857142857143,,,,18.107568110354762,,7321.082937176704,4.526892027588691,,,,,,,1069.0414156091713,,0.0,32.239263803680984,,39.661863318590385,,,2509.9716661436637,,,,228.11037996975404,5940.310344827586,92.01114291555919,0.0,,,594.8417004362077,4.5,,,36.89315203643352,28.696527777777774,7.514705882352941,8.184417292632023,,,-32.99485420240137,4.4495412844036695,68.559760613106,16.205810192929633,183998.33852938187,13.352232163552918,,,0.5138888888888888,,,23.535264874941742,,,,70.02362388921085,535.0043478260869,,2.0,78.22222222222223,,3.0,284.0191082802548,8.184417292632023,28.15713669950739,,,5.723226238286479,35.27891156462585,741.762220857954,,13.388889458691178,,,53.96496496496496,1050.4098605848449,,334.99709602443755,,11.11304347826087,,8.512885749727854,12.154537916800574,,35.70330641076015,,,5.249229799782649,4.172087257384389,,,,,,47.732142857142854,,,,2343.651865008881,0.6363636363636364,81.0,,1.1292665214233841,1110.3424242424242,0.0,,114.05518998487702,0.0,0.0,18359.943459330447,15.614455186829392,,2.577378783936161,1.0498459599565297,43.50910931174089,82.86075949367088,,
35,2.0,,,77.0,5.0,,,,103.17255140545669,,2722.113711562288,25.793137851364172,,,,,,,1199.5228168329284,,0.0,47.05521472392638,,58.82001712084463,,,2521.4410687708464,,,,89.58618807039038,9551.310344827585,40.75380801472091,2.0526315789473686,,,396.5630952688228,5.625,,,23.913225934637104,19.43958333333333,6.1764705882352935,10.14278929899049,,,-32.56260720411664,3.1192660550458715,33.81400154998708,18.93944463031114,192435.5835582763,27.584795558852164,,,0.4583333333333333,,,15.27248718347056,,,,10.764953395151164,1691.4814545454547,,0.0,202.66666666666666,,2.4000000000000004,214.82165605095543,10.14278929899049,31.305431914144975,,,2.333333333333333,28.69387755102041,383.0351085872151,,21.836400587432642,,,20.12962962962963,1030.0772995180769,,338.6378469445469,,41.791304347826085,,3.887828156249209,13.297049458837433,,144.17114147218228,,,104.44076269157087,8.456623670039654,,,,,,37.714285714285715,,,,647.6660746003552,1.621212121212121,203.0,,3.2941176470588234,2129.2575757575755,0.0,,44.79309403519519,0.3333333333333333,0.0,20539.25942994519,18.38878089232703,,1.4719179958589146,20.888152538314174,162.51136363636363,23.08016877637131,,
